"If the heart rate remains < 60/min, continue with CC + SI.","If heart rate remains < 60/min, continue CC + SI.",G0000000|C0018787|C0871208|G0000000|G0000000|C0549178|G0000000
"The study was approved by the Ethics Committee of Mashhad University of Medical sciences, and was performed in Imam-Reza University Hospital during a time period of 2008 to 2010.","The study approved Ethics Committee Mashhad University Medical sciences, performed Imam-Reza University Hospital time period 2008 2010.",G0000000|C0557651|C0205540|C0015000|C2699414|G0000000|C0041740|C0199168|C0036397|C0884358|C0521321|C0041740|C0019994|C0040223|C0439531|G0000000|G0000000
Protein support was between 1.5 a 2.0 g/kg/d.,Protein support 1.5 2.0 g/kg/d.,C0033684|C0183683|G0000000|G0000000|C1532536
Ten percent of adults reported experiencing dizzyness (5% in the 8 week streptomycin group vs 16% in the 4 week streptomycin group; p>0.3 by Χ2) and 12% of children reported experiencing dizzyness (9% in the 8 week streptomycin group vs 15% in the 4 week streptomycin group; p>0.3 by Χ2) after treatment was completed.,Ten percent adults reported experiencing dizzyness (5% 8 week streptomycin 16% 4 week streptomycin group; p>0.3 Χ2) 12% children reported experiencing dizzyness (9% 8 week streptomycin 15% 4 week streptomycin group; p>0.3 Χ2) treatment completed.,C0014518|C0439165|C0001675|C0684224|C0237607|C0012833|G0000000|G0000000|C0332174|C0038425|C0450371|G0000000|C0332174|C0038425|C0441833|C0369773|G0000000|C0450371|C0008059|C0684224|C0237607|C0012833|G0000000|G0000000|C0332174|C0038425|C0450371|G0000000|C0332174|C0038425|C0441833|C0369773|G0000000|C0039798|C0205197
"During close follow up by paediatrician or asthma nurse, asthma control improved despite a reduction in ICS dose.","During close follow paediatrician asthma nurse, asthma control improved reduction ICS dose.",G0000000|C0587267|C0332283|C0237433|C0004096|C0028661|C0004096|C0243148|C0184511|C0301630|C0022521|C0178602
Interventions to reduce in hospital falls have received little attention.,Interventions reduce hospital falls received attention.,C0886296|G0000000|C0019994|C0000921|C1514756|C0004268
We assessed care givers' competencies at the end of training.,We assessed care givers' competencies training.,G0000000|C1516048|C1947933|G0000000|C0086035|C0040607
"At Day 28 (the end of treatment), patients in the RLY5016 group had a mean (LS) change in serum K+ from baseline of −0.22 mEq/L, whereas patients in the placebo group had a mean change of +0.23 mEq/L.","At Day 28 (the treatment), patients RLY5016 (LS) change serum K+ baseline −0.22 mEq/L, patients placebo change +0.23 mEq/L.",G0000000|C0332173|C0450371|G0000000|C0039798|C0030705|G0000000|C0023668|C0392747|C0229671|C0597277|C0168634|G0000000|C0439375|C0030705|C0032042|C0392747|C0450371|C0439375
"Thereafter, a maintenance intravenous dose (20 mg/6 h) was given for three days, then 20 mg/12 h for three days, and finally 20 mg/day for another three days.","Thereafter, maintenance intravenous dose (20 mg/6 h) days, 20 mg/12 days, finally 20 mg/day days.",G0000000|C0024501|C0348016|C0178602|C0450371|C0026410|C0033727|C0439228|C0450371|C0026410|C0439228|G0000000|C0450371|C0439422|C0439228
"In the PCV arm, four cycles were given every 6 weeks before RT, as follows: lomustine 130 mg/m2 orally on day 1; procarbazine 75 mg/m2 orally daily, days 8 through 21; and vincristine 1.4 mg/m2 intravenously on days 8 and 29.19 There was no 2-mg limit on vincristine.","In PCV arm, cycles 6 weeks RT, follows: lomustine 130 mg/m2 orally day 1; procarbazine 75 mg/m2 orally daily, days 8 21; vincristine 1.4 mg/m2 intravenously days 8 29.19 There 2-mg limit vincristine.",G0000000|C1882252|C0446516|C1511572|G0000000|C0439230|C0230425|C0332283|C0023972|C1442061|C0026410|C0442027|C0332173|G0000000|C0033223|C0450371|C0026410|C0442027|C0332173|C0439228|G0000000|C0450371|C0042679|G0000000|C0026410|G0000000|C0439228|G0000000|C0450371|G0000000|C0026410|C0439801|C0042679
"The standard care control was a commercially available 15-page booklet titled: “What Everyone Should Know ABOUT WELLNESS” (Channing Bete Company, 1992), which included information and illustrations about smoking, alcohol and drug use avoidance, exercise types and benefits, eating nutritious foods, managing stress, getting adequate sleep, and maintaining a positive attitude.","The standard care control commercially 15-page booklet titled: “What Everyone Should Know ABOUT WELLNESS” (Channing Bete Company, 1992), included illustrations smoking, alcohol drug avoidance, exercise types benefits, eating nutritious foods, managing stress, adequate sleep, maintaining positive attitude.",G0000000|C1442989|C1947933|C0243148|G0000000|C0450371|C0030258|C1519530|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|C0683757|G0000000|C0332257|G0000000|C0037369|C0001962|C0013227|C0870186|C0015259|C0332307|C0814225|C0013470|G0000000|C0016452|C1273870|C0038435|C0205410|C0037313|C0024501|C0439178|C0004271
A randomized clinical trial of a wellness intervention for women with multiple sclerosis.,A randomized clinical trial wellness intervention women multiple sclerosis.,G0000000|C0034656|C0205210|C0008976|C0018684|C0886296|C0043210|C0439064|C0036429
"Capreomycin (81.4%) was the most common injectable used, followed by amikacin (15.7%) and kanamycin (0.8%), while injectable data were not available for 12 (2%) of patients who had completed their injection phase at a private clinic.","Capreomycin (81.4%) common injectable used, amikacin (15.7%) kanamycin (0.8%), injectable data 12 (2%) patients completed injection phase private clinic.",C0262964|C0450371|C0205214|C1272883|C1273517|C0002499|C0450371|C0022487|G0000000|C1272883|C1511726|C0450371|G0000000|C0030705|C0205197|C0021485|C0205390|C0033175|C0002424
"In addition, patients were also taught to do functional and goal-oriented activities such as combing, tying turban (for men), wearing garments, picking up objects and placing them on the table, and pouring and drinking from a cup.","In addition, patients taught functional goal-oriented activities combing, tying turban (for men), wearing garments, picking objects placing table, pouring drinking cup.",G0000000|C0332287|C0030705|C0348054|C0205245|C0018017|C0441655|C0376161|C0453920|C0453970|G0000000|C0025266|G0000000|C0009072|C1707391|C0347997|C0442504|C0039224|G0000000|C0001948|C1533124
"Composition of Brudysec 1.5 g (Brudy Lab SL, Barcelona, Spain), per capsule Abbreviations: DHA, docosahexaenoic acid; DPA, docosapentaenoic acid; EPA, eicosapentaenoic acid.","Composition Brudysec 1.5 (Brudy Lab SL, Barcelona, Spain), capsule Abbreviations: DHA, docosahexaenoic acid; DPA, docosapentaenoic acid; EPA, eicosapentaenoic acid.",C0486616|G0000000|G0000000|G0000000|C0022877|G0000000|G0000000|C0037747|C0006935|C0000723|C0142831|G0000000|C0001128|C0042291|G0000000|C0001128|G0000000|G0000000|C0001128
"The patients in the SG performed cognitive training while those in the CG spent the same amount of time with a psychologist, discussing general topics, news, and their recent activities.","The patients SG performed cognitive training CG spent amount time psychologist, discussing topics, news, activities.",G0000000|C0030705|C0036644|C0884358|C1516691|C0040607|C0043444|C0680968|C1265611|C0040223|C0033908|C2584313|C1522168|C0282425|C0441655
"Of 47 episodes treated at home, four patients (8%) were subsequently readmitted to the hospital.","Of 47 episodes treated home, patients (8%) subsequently readmitted hospital.",G0000000|C0450371|C0332189|C1522326|C0442519|C0030705|G0000000|G0000000|G0000000|C0019994
De qi (a sensation of numbness and distension at the needling site) was achieved by manual stimulation.,De qi (a sensation numbness distension needling site) achieved manual stimulation.,C0011198|C0376586|G0000000|C0036658|C0020580|C0012359|C0007431|C0205145|G0000000|C0024763|C1292856
RESULTS—Overall remission rate by intention to treat was 26% for the low LCT feed and 33% for the high LCT feed (p=0.38).,RESULTS—Overall remission rate intention treat 26% low LCT feed 33% LCT feed (p=0.38).,G0000000|C0544452|C0871208|C0162425|C0087111|C0450371|C0205251|C1416808|C0204695|C0450371|C1416808|C0204695|C0369773
"Within each stratum, patients were randomized in a 1:1 ratio to placebo or memantine.","Within stratum, patients randomized 1:1 ratio placebo memantine.",G0000000|G0000000|C0030705|C0034656|G0000000|C0456603|C0032042|C0025242
Randomization: patients will be randomized to the control group (brief advisory session) or the intervention group (brief advisory session plus measuring exhaled CO).,Randomization: patients randomized control (brief advisory session) intervention (brief advisory session measuring exhaled CO).,C0034656|C0030705|C0034656|C0243148|C1282927|G0000000|C1883016|C0886296|C1282927|G0000000|C1883016|C0444706|C0231800|C3245499
The 4-trocar types included 2 cutting (single or pyramidal bladed) and 2 dilating trocars (radially or axially dilating) type.,The 4-trocar types included 2 cutting (single pyramidal bladed) 2 dilating trocars (radially axially dilating) type.,G0000000|C0041158|C0332307|C0332257|G0000000|C0152060|C0037179|G0000000|G0000000|G0000000|C0700124|C0041158|G0000000|G0000000|C0700124|C0332307
To which group the company is assigned is revealed during the first session of the smoking cessation training.,To company assigned revealed session smoking cessation training.,C0040363|C0683757|C1516050|C0443289|C1883016|C0037369|C1880019|C0040607
CONCLUSIONS—FP 750 µg/day is as effective as BDP 1500 µg/day in children with persistent asthma.,CONCLUSIONS—FP 750 µg/day effective BDP 1500 µg/day children persistent asthma.,G0000000|C1442061|G0000000|C1280519|C0004906|G0000000|G0000000|C0008059|C0205322|C0004096
"With the exception of a single, daily multivitamin and mineral (MVM) supplement (23 of 67 subjects), no subjects were currently using dietary supplements containing ingredients found in the test formula, and all agreed to refrain from using additional supplements containing any of these ingredients during the study period.","With exception single, daily multivitamin mineral (MVM) supplement (23 67 subjects), subjects dietary supplements ingredients test formula, agreed refrain additional supplements ingredients study period.",G0000000|C1554961|C0037179|C0332173|C0301532|C0006660|G0000000|C0242295|C0450371|C0450371|C0681850|C0681850|C0012155|C0242295|C1550600|C0022885|C0489829|C3641827|G0000000|C1524062|C0242295|C1550600|C0557651|C0439531
"Both groups were provided with a twice daily oral calcium–vitamin D combination tablet (calcium 500 mg and vitamin D3 400 IU; Calcia, Nycomed Pharmaceuticals: 2 Lyonpark Road, North Ryde NSW 2113).","Both provided daily oral calcium–vitamin D combination tablet (calcium 500 vitamin D3 400 IU; Calcia, Nycomed Pharmaceuticals: 2 Lyonpark Road, North Ryde NSW 2113).",G0000000|C1999230|C0332173|C0442027|G0000000|C0073187|C0205195|C0039225|C0006675|C1442061|C0042890|C3538936|C1442061|C0049272|C0064990|C0133271|C1135440|G0000000|G0000000|C0442650|C1709269|G0000000|G0000000|G0000000
"A total of 352 children were enrolled in the trial, 203 in the intervention group and 149 in the control group.","A total 352 children enrolled trial, 203 intervention 149 control group.",G0000000|C0439175|C1442061|C0008059|G0000000|C0008976|C1442061|C0886296|C1442061|C0243148|C0441833
"The placebo exercise was devised to be of comparable duration and simplicity to the intervention stretching exercise, but was passive and involved negligible stretching of the muscles of the calf and foot (Supplementary Box 1).","The placebo exercise devised comparable duration simplicity intervention stretching exercise, passive involved negligible stretching muscles calf foot (Supplementary Box 1).",G0000000|C0032042|C0015259|G0000000|G0000000|C0449238|C0205352|C0886296|C0600080|C0015259|C3686820|C1314939|C0332269|C0600080|C0026845|C0230445|C0016504|G0000000|C0179400|G0000000
"Pregnant women at 27–30 weeks gestation (n = 28) were randomized to 70,000 IU once + 35,000 IU/week vitamin D3 (group PH: pregnant, higher dose) or 14,000 IU/week vitamin D3 (PL: pregnant, lower dose) until delivery.","Pregnant women 27–30 weeks gestation (n = 28) randomized 70,000 IU + 35,000 IU/week vitamin D3 (group PH: pregnant, dose) 14,000 IU/week vitamin D3 (PL: pregnant, lower dose) delivery.",C0549206|C0043210|G0000000|C0439230|C0032961|C0369718|G0000000|C0450371|C0034656|C0450371|C0049272|G0000000|C0450371|C0049272|C0042890|C3538936|C0441833|C0450407|C0549206|C0178602|C0450371|C0049272|C0042890|C3538936|C3897966|C0549206|C0441994|C0178602|C0011209
"The response rate varied between different settings between 57% in juvenile prisons, 10% in in-patient medical clinics, 5% in out-patient medical clinics and 5% in the youth welfare and drug addiction aid.","The response rate varied settings 57% juvenile prisons, 10% in-patient medical clinics, 5% out-patient medical clinics 5% youth welfare drug addiction aid.",G0000000|C0871261|C0871208|G0000000|C0542559|C0450371|C3146221|C0033168|C0450371|C0150312|C0199168|C0442592|G0000000|C0029921|C0199168|C0442592|G0000000|C0001578|C0037440|C0013227|C0085281|C0449435
There was a significant difference in comparing the average of pain intensity in different hours of measurement (pre and post treatment) in each group (P < 0.001); as the pain intensity decreased in each group .But there was no significant difference in comparing the average of pain intensity between two groups of Rosa damascena extract and Mefenamic acid (P = 0.35) (Figure 1).,There difference comparing average pain intensity hours measurement (pre post treatment) (P < 0.001); pain intensity decreased .But difference comparing average pain intensity Rosa damascena extract Mefenamic acid (P = 0.35) (Figure 1).,G0000000|C1705241|C1707455|C1510992|C0030193|C0522510|C0439227|C0242485|C0332152|C0687676|C0039798|C0369773|G0000000|C1442061|C0030193|C0522510|C0205216|G0000000|C1705241|C1707455|C1510992|C0030193|C0522510|C0035853|G0000000|C2828366|G0000000|C0001128|C0369773|G0000000|C0450371|G0000000|G0000000
"CombiRx was a 3-arm, randomized, double-blind, placebo-controlled, multi-center, phase-III trial of combination therapy utilizing a partial 2×2 factorial design with a 2:1:1 randomization allocation (Figure 1) to combination IFN + GA or each single agent with matching placebo.","CombiRx 3-arm, randomized, double-blind, placebo-controlled, multi-center, phase-III trial combination therapy utilizing partial 2×2 factorial design 2:1:1 randomization allocation (Figure 1) combination IFN + GA single agent matching placebo.",G0000000|C0446516|C0034656|C0013072|C1706408|C0439743|C0441771|C0008976|C0205195|C0039798|G0000000|C0728938|G0000000|C2826344|C1707689|G0000000|C0034656|C1706778|G0000000|G0000000|C0205195|G0000000|G0000000|C0016993|C0037179|C0450442|C0150103|C0032042
"Daily treatment with 200 mgs EGCG administered three times a day (total 600 mg/d) for one year significantly reduced progression to prostate cancer in men in the treatment arm (incidence, approximately 3%), compared to men on placebo (incidence, 30%) [44].","Daily treatment 200 mgs EGCG administered times day (total 600 mg/d) reduced progression prostate cancer treatment arm (incidence, 3%), compared placebo (incidence, 30%) [44].",C0332173|C0039798|C1442061|C0024467|C0059438|C1521801|C0040223|C0332173|C0439175|C1442061|C0439422|C0392756|C0242656|C0033572|C0006826|C0039798|C0446516|C0021149|G0000000|C1707455|C0032042|C0021149|C0450371|C0450371
"Remission induction treatment consisted of cytarabine 25 mg/m2 as intravenous bolus followed immediately by 100 mg/m2 given as a continuous infusion daily for 10 days; etoposide 100 mg/m2 in 0.9% saline daily by intravenous infusion (1 hour) on days 1 to 5; and on days 1, 3, and 5, one of the following: daunorubicin 50 mg/m2 as a 5-minute infusion, mitoxantrone 12 mg/m2 as a 30-minute infusion, or idarubicin 10 mg/m2 as a 5-minute infusion.","Remission induction treatment consisted cytarabine 25 mg/m2 intravenous bolus 100 mg/m2 continuous infusion daily 10 days; etoposide 100 mg/m2 0.9% saline daily intravenous infusion (1 hour) days 1 5; days 1, 3, 5, following: daunorubicin 50 mg/m2 5-minute infusion, mitoxantrone 12 mg/m2 30-minute infusion, idarubicin 10 mg/m2 5-minute infusion.",C0544452|C0205263|C0039798|C0332529|C0010711|C0450371|C0026410|C0348016|C1511237|C1442061|C0026410|C0549178|C0574032|C0332173|C0450371|C0439228|C0015133|C1442061|C0026410|G0000000|C0036082|C0332173|C0348016|C0574032|G0000000|C0439227|C0439228|G0000000|G0000000|C0439228|G0000000|G0000000|G0000000|C0231290|C0011015|C0450371|C0026410|C0439232|C0574032|C0026259|C0450371|C0026410|C0450371|C0574032|C0020789|C0450371|C0026410|C0439232|C0574032
S-1 will be administered orally at a dose of 40 mg/m2 twice-daily (equivalent to a total daily dose of 80 mg/m2) for 3 weeks (day 1 to 21).,S-1 administered orally dose 40 mg/m2 twice-daily (equivalent total daily dose 80 mg/m2) 3 weeks (day 1 21).,G0000000|C1521801|C0442027|C0178602|G0000000|C0585361|C0205163|C0439175|C0332173|C0178602|G0000000|G0000000|C0332173|G0000000|C0450371
"This is a multi-centre randomised, non-blinded, parallel group controlled trial comparing early referral to a specialist palliative care team for regular early SPC versus standard care.","This multi-centre randomised, non-blinded, parallel controlled trial comparing referral specialist palliative care team regular SPC versus standard care.",G0000000|C0439743|G0000000|C1518422|C2348042|C2587213|C0008976|C1707455|C0034927|C0087009|C0587605|C1947933|C0871489|C0205272|C1425074|G0000000|C1442989|C1947933
"The Step device consists of an access-insufflation needle, a radially expandable biocompatible polymeric sleeve, and a tapered blunt dilator/cannula.","The Step device consists access-insufflation needle, radially expandable biocompatible polymeric sleeve, tapered blunt dilator/cannula.",G0000000|C1261552|C0025080|C0332529|C0444454|C0027551|G0000000|G0000000|C0596177|C0032521|C0183336|C0441640|C1997138|C0180431
"Other components of PN were given as standardized solutions at the discretion of the investigator.18 Additional enteral intake comprising <30% of the total lipid intake on days 1–3, <50% on days 4–7, and <70% on days 8–14 of the total energy intake was permitted if appropriate and documented.","Other components PN standardized solutions discretion investigator.18 Additional enteral intake comprising <30% total lipid intake days 1–3, <50% days 4–7, <70% days 8–14 total energy intake permitted documented.",G0000000|C0449432|C0219433|G0000000|C0037633|G0000000|C0035173|C1524062|C1304890|C1512806|C2700400|C0450371|C0439175|C0023779|C1512806|C0439228|G0000000|C0450371|C0439228|G0000000|C0450371|C0439228|G0000000|C0439175|C0424589|C1512806|C0329040|C1301725
The control group will undertake 30 min of routine assisted overground walking while the experimental group will undertake 30 min of treadmill walking with partial weight support via an overhead harness per day.,The control undertake 30 min routine assisted overground walking experimental undertake 30 min treadmill walking partial weight support overhead harness day.,G0000000|C0243148|G0000000|C0450371|C0702093|C0205547|C1269765|G0000000|C0080331|C1517586|G0000000|C0450371|C0702093|C0184069|C0080331|C0728938|C0005910|C0183683|G0000000|C3873748|C0332173
"This intervention was a blended learning experience for participants as it was a combination of various learning methods and topics (reflection on own practice, provision of new research evidence and guidelines, video-rich material presenting novel communication skills based on motivational interviewing, practice in usual clinical contexts, sharing experiences and views on a web form, and participating in a facilitator led, practice based seminar).","This intervention blended learning experience participants combination learning methods topics (reflection practice, provision evidence guidelines, video-rich material communication skills based motivational interviewing, practice usual clinical contexts, sharing experiences views web form, participating facilitator led, practice based seminar).",G0000000|C0886296|C0678946|C0013621|C0237607|C0679646|C0205195|C0013621|C0025663|C1522168|C0558058|C0237607|C1549071|C3887511|C0162791|C0042655|C0520510|C0009452|C0678856|C1527178|C0026605|C0021822|C0237607|C3538928|C0205210|C0449255|C0237876|C0596545|C0449911|C0282111|C0348078|C0679823|G0000000|C1708698|C0237607|C1527178|G0000000
"Study participants were allocated to receive a weekly dose of either 35,000 IU of vitD3 (Vigantol Oil, Merck KGaA, Germany; vitD group) or placebo oil (Miglyol oil, Merck; placebo group) until delivery.","Study participants allocated receive weekly dose 35,000 IU vitD3 (Vigantol Oil, Merck KGaA, Germany; vitD group) placebo oil (Miglyol oil, Merck; placebo group) delivery.",C0557651|C0679646|G0000000|C1514756|C0332174|C0178602|C0450371|C0049272|G0000000|G0000000|C0028908|G0000000|G0000000|C0017480|C0042866|C0441833|C0032042|C0028908|G0000000|C0028908|G0000000|C0032042|C0441833|C0011209
"Derived from Smith (1989; 1990) and Benson and Klipper (1990), the CBSM protocol consisted of skills training in focused breathing, progressive muscle relaxation, yogaform stretching, guided imagery, and beginning meditation, along with cognitive restructuring techniques and active coping skills.","Derived Smith (1989; 1990) Benson Klipper (1990), CBSM protocol consisted skills training focused breathing, progressive muscle relaxation, yogaform stretching, guided imagery, meditation, cognitive restructuring techniques active coping skills.",C1441547|C0554249|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|C0442711|C0332529|C0678856|C0040607|C0205234|C0004048|C0205329|C0026845|C0035028|G0000000|C0600080|C0181090|C0150627|C0150277|C1516691|G0000000|C0025664|C0205177|C0009967|C0678856
gave each participant a general explanation about OSA and PAP treatment in the morning following the diagnostic PSG night.,participant explanation OSA PAP treatment morning diagnostic PSG night.,C0679646|C0681841|C0520679|C1740167|C0039798|C0332170|C0011900|C0162701|C0240526
"Thus we enrolled a total of 5449 children, over 1400 in the two control groups and over 800 each in the other three food supplement groups.","Thus enrolled total 5449 children, 1400 control 800 food supplement groups.",G0000000|G0000000|C0439175|G0000000|C0008059|G0000000|C0243148|C1442061|C0016452|C0242295|C0441833
"The duration of each protocol was no longer than 15 minutes, and each protocol was conducted once per day for five days per week for four weeks total.","The duration protocol 15 minutes, protocol conducted day days week weeks total.",G0000000|C0449238|C0442711|C0450371|C0439232|C0442711|C0004927|C0332173|C0439228|C0332174|C0439230|C0439175
"Conclusions: This study suggests that, in severe childhood asthma, there is no significant difference in the effectiveness of a bolus of salbutamol and an aminophylline infusion in the first 2 hours of treatment.","Conclusions: This study suggests that, severe childhood asthma, difference effectiveness bolus salbutamol aminophylline infusion 2 hours treatment.",C1707478|G0000000|C0557651|C1705535|G0000000|C0205082|C0231335|C0004096|C1705241|C1280519|C1511237|C0001927|C0002575|C0574032|G0000000|C0439227|C0039798
Treatment adherence was encouraged by telephone calls from the study coordinator and pill counts measurement.,Treatment adherence encouraged telephone calls study coordinator pill counts measurement.,C0039798|C1510802|G0000000|C0039457|C0679006|C0557651|C1711307|C0009905|C0439157|C0242485
bmjopen-2019-032957supp001.pdf Trabeculotomy and combined trabeculotomy–trabeculectomy (CTT) are major surgical options for primary congenital glaucoma (PCG).,bmjopen-2019-032957supp001.pdf Trabeculotomy combined trabeculotomy–trabeculectomy (CTT) major surgical options primary congenital glaucoma (PCG).,C1431343|C0040576|C0205195|G0000000|C0040405|C0205082|C0543467|C1518601|C0205225|C0009678|C0017601|C1623167
These were 30-min audio-paced training sessions and incorporated the elements of active motor imagery with verbal and visual facilitation as described above.,These 30-min audio-paced training sessions incorporated elements active motor imagery verbal visual facilitation above.,G0000000|C0450371|C3273156|C0040607|C1883016|G0000000|C0013879|C0205177|C1513492|C0150627|C0439824|C0234621|C0234112|C1282910
"For example, for a patient not having any constipation, improvement in the constipation score cannot be expected even with optimal palliative care.","For example, patient constipation, improvement constipation score expected optimal palliative care.",G0000000|C1707959|C0030705|C0009806|C2986411|C0009806|C0449820|C1517001|C2698651|C0587605|C1947933
"Students in the case group, whether anaemic or not, received a 50 mg ferrous sulfate tablet every Wednesday and Saturday for 16 weeks.","Students group, anaemic not, received 50 ferrous sulfate tablet Wednesday Saturday 16 weeks.",C0038492|C0441833|C0857322|C1518422|C1514756|C0450371|C2346592|C0038720|C0039225|C0585027|C0585030|C0450371|C0439230
"Retention rates differed by arm, with Arm 2 having higher retention rates than Arm 1; this result is not entirely unexpected because Arm 2 received significantly more text messages than Arm 1.","Retention rates differed arm, Arm 2 retention rates Arm 1; result unexpected Arm 2 received text messages Arm 1.",C0035280|C0871208|G0000000|C0446516|C0446516|G0000000|C0035280|C0871208|C0446516|G0000000|C1274040|C4055646|C0446516|G0000000|C1514756|C1527021|C0470166|C0446516|G0000000
"S-1 was given as 40mg/m2 twice daily on day 1-21 and cisplatin was 20mg/m2 ivdrip on day 1-4, repeated every 5 weeks in the CS group.","S-1 40mg/m2 daily day 1-21 cisplatin 20mg/m2 ivdrip day 1-4, repeated 5 weeks CS group.",G0000000|C0025885|C0332173|C0332173|C0450371|C0008838|C0025885|G0000000|C0332173|G0000000|C0205341|G0000000|C0439230|C0010182|C0441833
"During subsequent sessions participants were taught self-monitoring of LPA, goal setting, dealing with symptom flares, problem solving strategies to overcome barriers to being more physically active, as well as instruction in finding new ways to integrate short bouts of LPA into their daily lives.","During subsequent sessions participants taught self-monitoring LPA, goal setting, dealing symptom flares, solving strategies overcome barriers physically active, instruction finding integrate short bouts LPA daily lives.",G0000000|C0332282|C1883016|C0679646|C0348054|C0588436|C1096202|C0018017|C0542559|G0000000|C1457887|C1517205|G0000000|C0679199|C2983310|C1706912|G0000000|C0205177|C0039401|C0037088|G0000000|C1282927|C0741605|C1096202|C0332173|C0595998
