"After October 2004, an aromatase inhibitor was allowed.","After October 2004, aromatase inhibitor allowed.",G0000000|C3828732|G0000000|C0003805|C1999216|C0683607
"2001) seeks to reduce the prevalence of alcohol and tobacco use among teens by (a) enhancing family understanding of adolescent substance use and promoting family self-efficacy for influencing substance use attitudes and behaviors among youth, (b) improving general family management skills and family interactional dynamics, (c) developing family norms and rules against substance use, and (d) promoting substance use refusal skills and anti-substance use attitudes for effectively dealing with influences from peers and media.","2001) seeks reduce prevalence alcohol tobacco teens (a) enhancing family understanding adolescent substance promoting family self-efficacy influencing substance attitudes behaviors youth, (b) improving family management skills family interactional dynamics, (c) developing family norms rules substance use, (d) promoting substance refusal skills anti-substance attitudes effectively dealing influences peers media.",G0000000|G0000000|G0000000|C0033105|C0001962|C0040329|C0205653|G0000000|C2349975|C0015576|C0162340|C0205653|C0439861|C0033414|C0015576|C0600564|C4054723|C0439861|C0004271|C0004927|C0001578|G0000000|C1272745|C0015576|C0001554|C0678856|C0015576|C1704675|C3826426|G0000000|G0000000|C0015576|C0205307|C0870077|C0439861|C0042153|C0073187|C0033414|C0439861|G0000000|C0678856|C0439861|C0004271|G0000000|G0000000|C4054723|C0679739|C0009458
Therapists did not endorse any specific food or diet recommendations.,Therapists endorse specific food diet recommendations.,C0871525|G0000000|C0205369|C0016452|C0012155|C0034866
"Since the generalised estimating equations model did not converge for the HBM construct benefits, results for this construct are not presented.","Since generalised estimating equations model converge HBM construct benefits, construct presented.",C1711239|C0205246|C0750572|C0552449|C3161035|C2700387|G0000000|C2827421|C0814225|C2827421|C0449450
Operative variables and complications *P <0.05 compared to LDP group.,Operative variables complications *P <0.05 compared LDP group.,C1882154|C0439828|C0009566|C0369773|C0450371|C1707455|C2985237|C0441833
No prior palliative chemotherapy was permitted.,No prior palliative chemotherapy permitted.,G0000000|C0332152|C0587605|C0013216|C0329040
Consecutive unselected women on the outpatient waiting list for radiotherapy for breast cancer were approached at their first planned visit.,Consecutive unselected women outpatient waiting list radiotherapy breast cancer approached planned visit.,C1707491|G0000000|C0043210|C0029921|C1610166|C0745732|C0034619|C0006141|C0006826|C0449445|C1301732|C0545082
There is no difference in TTP in patients with intermediate stage HCC treated with 90Y-RE or TACE-DEB.,There difference TTP patients intermediate stage HCC treated 90Y-RE TACE-DEB.,G0000000|C1705241|C0084795|C0030705|C0205103|C0205390|C2239176|C1522326|C0556581|C0723595
"Before vaccination, no enrolled patient had a specific IFNγ producing CD8+ immune response.","Before vaccination, enrolled patient specific IFNγ producing CD8+ immune response.",C0332152|C0042196|G0000000|C0030705|C0205369|G0000000|G0000000|C0285590|C0439662|C0871261
The operational definition of early RRT is the initiation of RRT immediately after the diagnosis of AKI.,The operational definition RRT initiation RRT diagnosis AKI.,G0000000|C0038895|C1550452|G0000000|C0589507|G0000000|C0011900|C0022660
"We conducted the study in community-based cancer clinics (4), academic medical centers (3) and community hospitals (3) in Western New York and Sacramento, California.","We conducted study community-based cancer clinics (4), academic medical centers (3) community hospitals (3) Western New York Sacramento, California.",G0000000|C0004927|C0557651|C0009462|C0006826|C0442592|G0000000|C1510747|C0199168|C0205099|G0000000|C0009462|C0019994|G0000000|C1705493|C0205314|G0000000|G0000000|C0006754
"However, mean intake for the present study was only 8.1 (SD = 3.2) sprays/day for the nabiximols group (equivalent to 21.9 mg THC / 20.3 mg CBD) and 6.6 (SD = 1.7) sprays/day for the placebo group, which seem much lower than in the above studies.","However, intake study 8.1 (SD = 3.2) sprays/day nabiximols (equivalent 21.9 THC / 20.3 CBD) 6.6 (SD = 1.7) sprays/day placebo group, lower studies.",G0000000|C1512806|C0557651|G0000000|G0000000|G0000000|G0000000|C0233601|C2347556|C0205163|C0450371|C0039663|G0000000|C0450371|C0006863|G0000000|G0000000|G0000000|G0000000|C0233601|C0032042|C0441833|C0441994|C0947630
"In most families, the mothers chose to participate.","In families, mothers chose participate.",G0000000|C0015576|C0026591|C1707391|G0000000
"In fact, based on an early seizure rate of 8%, over 700 patients would have been needed to be relatively certain (80% power) of a negative result.","In fact, based seizure rate 8%, 700 patients (80% power) negative result.",G0000000|G0000000|C1527178|C0036572|C0871208|G0000000|C1442061|C0030705|C0450371|C0032863|C0205160|C1274040
"During the study period, 540 population controls and 540 hospital controls were selected from Shenyang residents and from outpatients at the same hospital to separately match cases in a 1:1 ratio.","During study period, 540 population controls 540 hospital controls selected Shenyang residents outpatients hospital separately match 1:1 ratio.",G0000000|C0557651|C0439531|C1442061|C0032659|C0243148|C1442061|C0019994|C0243148|C1707391|G0000000|C1320928|C0029921|C0019994|G0000000|C0150103|G0000000|C0456603
"When subjects who had been on placebo for 12 weeks were then treated with naltrexone, a significant decline in CDAI scores also occurred.","When subjects placebo 12 weeks treated naltrexone, decline CDAI scores occurred.",G0000000|C0681850|C0032042|C0450371|C0439230|C1522326|C0027360|G0000000|C0683448|C0449820|C1709305
Further research is needed to understand these results.,Further understand results.,C1517331|C0162340|C1274040
"Individuals with severe depression (PHQ-9 score≥20) and/or anxiety (GAD7 score ≥15), or individuals with evidence of current suicidal ideation are considered inappropriate for iDiD online CBT.","Individuals severe depression (PHQ-9 score≥20) and/or anxiety (GAD7 score ≥15), individuals evidence current suicidal ideation considered inappropriate iDiD online CBT.",C0027361|C0205082|C0011570|C1879301|G0000000|G0000000|C0003467|G0000000|C0449820|G0000000|C0027361|C3887511|C0521116|C0438696|C0392348|C0750591|C1548788|G0000000|G0000000|C0009244
"Demographic, surgical, and pathologic details were similar between both groups (Tables 1 and 2).","Demographic, surgical, pathologic details (Tables 1 2).",C0011298|C0543467|C1521733|C1522508|C0039224|G0000000|G0000000
IFI indicates invasive fungal infection.,IFI invasive fungal infection.,C1334085|C0205281|C0016832|C0009450
"AIM: To compare, in a randomized controlled trial, the effectiveness of penicillin, cefixime and placebo on symptom resolution in patients presenting with a sore throat in general practice.","AIM: To compare, randomized controlled trial, effectiveness penicillin, cefixime placebo symptom resolution patients sore throat practice.",C1947946|C0040363|C1707455|C0034656|C2587213|C0008976|C1280519|C0030827|C0060400|C0032042|C1457887|C1514893|C0030705|C0234233|C0031354|C0237607
"This is similar to prior findings in our outpatient, paper-based preventive care reminders56 and suggests that the intervention in the current study would have been more powerful if it required physicians to either comply with each suggestion or document their reasons for declining.","This prior findings outpatient, paper-based preventive care reminders56 suggests intervention current study powerful required physicians comply suggestion document reasons declining.",G0000000|C0332152|C2607943|C0029921|C0030351|C0445202|C1947933|G0000000|C1705535|C0886296|C0521116|C0557651|C0032863|C1514873|C0031831|C0725694|C0038659|C1301746|C0392360|C1511741
"The findings reported here are based on research funded by grants from the Institute of Education Sciences (IES), U.S. Department of Education: R305L030072, R305L030004 and R305A080253 to the University of Illinois at Chicago (2003–2005) and Oregon State University (2005–2012).","The findings reported based funded grants Institute Education Sciences (IES), U.S. Department Education: R305L030072, R305L030004 R305A080253 University Illinois Chicago (2003–2005) Oregon State University (2005–2012).",G0000000|C2607943|C0684224|C1527178|C0016820|C0018173|C0021622|C0013621|C0036397|G0000000|C0041703|C1704729|C0013621|G0000000|G0000000|G0000000|C0041740|C0020898|C0008044|G0000000|C0029195|C1301808|C0041740|G0000000
All cases histologically confirmed or diagnosed by operation from January 1993 to July 1995 were collected from cancer registry and a quick-reporting system from hospitals.,All histologically confirmed diagnosed operation January 1993 July 1995 collected cancer registry quick-reporting system hospitals.,G0000000|C0205462|C0521093|C0011900|C0543467|C3829466|G0000000|C3829447|G0000000|C1516695|C0006826|C0034975|C0456962|C0449913|C0019994
"For non-emergency delivery, we obtained the informed consent in advance.","For non-emergency delivery, informed consent advance.",G0000000|C1518422|C0011209|C1522154|C1511481|C0725066
"The mixed-modality supervised exercise program 4 times a week, twice a day plus consistent interaction with the exercise trainers might have contributed to the mental component scores being clinically significantly higher for the intervention group compared with the control group.","The mixed-modality supervised exercise program 4 times week, day consistent interaction exercise trainers contributed mental component scores clinically intervention compared control group.",G0000000|C0205430|G0000000|C0015259|C1709697|G0000000|C0040223|C0332174|C0332173|C0332290|C1704675|C0015259|C0453962|C1880177|C0229992|C0449432|C0449820|G0000000|C0886296|C1707455|C0243148|C0441833
Kenya had the highest proportion of households without access to any facility (30% case and 29% control households).,Kenya proportion households access facility (30% 29% control households).,C0022558|C1709707|C0020052|C0444454|C1547538|C0450371|C0450371|C0243148|C0020052
Neither a clinical or histologic response to GTE intervention was associated with oral cancer development.,Neither clinical histologic response GTE intervention oral cancer development.,G0000000|C0205210|C0205462|C0871261|G0000000|C0886296|C0442027|C0006826|C0243107
"The longitudinal linear trajectories of the WRAADS and CAARS-SELF did not differ between groups (p=0.80, p=0.73; respectively).","The longitudinal linear trajectories WRAADS CAARS-SELF (p=0.80, p=0.73; respectively).",G0000000|C0205127|C0205132|G0000000|G0000000|C1429040|C0369773|C0369773|G0000000
"This includes a pre-visit distribution of decision aids into the standard care path and a continuing care coordinator who guides patients through the decision and care process [29, 30].","This includes pre-visit distribution decision aids standard care path continuing care coordinator guides patients decision care process [29, 30].",G0000000|C0332257|C0332152|C0520511|C0679006|C0001175|C1442989|C1947933|C0919386|C0549178|C1947933|C1711307|C0181090|C0030705|C0679006|C1947933|C1184743|C0450371|C0450371
c,NULL,NULL
They were asked to play at least once a week with the CD at home.,They play week CD home.,G0000000|C0032214|C0332174|C0007928|C0442519
"In this study, we will not measure dispensing errors.","In study, measure dispensing errors.",G0000000|C0557651|C0079809|C1880359|C0743559
The study followed individuals who had been born in rural villages and randomly assigned to a community-based nutritional intervention in the 1960s.,The study individuals born rural villages randomly assigned community-based nutritional intervention 1960s.,G0000000|C0557651|C0027361|C0005615|C0240919|C0562518|G0000000|C1516050|C0009462|C1521739|C0886296|G0000000
The subjective satisfaction of mothers regarding the state of lactation and the well-being and happiness of babies were rated on a graded scale ranging from 1 to 5 (1 denoting unsatisfactory and 5 representing highly satisfactory).,The subjective satisfaction mothers lactation well-being happiness babies rated graded scale ranging 1 5 (1 denoting unsatisfactory 5 representing highly satisfactory).,G0000000|C0439655|C0242428|C0026591|C0006147|C0018684|C0018592|C0021270|C0871208|C0441800|C0175659|C1514721|G0000000|G0000000|G0000000|G0000000|C0439856|G0000000|C1882932|C0205250|C0205410
"We examined the risk of lung cancer in relation to green tea consumption in a population-based cohort study in Japan among 41 440 men and women, aged 40–79 years, who completed a questionnaire in 1994 regarding green tea consumption and other health-related lifestyle factors.","We examined risk lung cancer relation green tea consumption population-based cohort study Japan 41 440 women, aged 40–79 years, completed questionnaire 1994 green tea consumption health-related lifestyle factors.",G0000000|C0332128|C0035647|C0024109|C0006826|C0080103|C0332583|C0039400|C0009830|C0032659|C0599755|C0557651|C0022341|G0000000|C0043210|C0001779|G0000000|C0439234|C0205197|C0034394|G0000000|C0332583|C0039400|C0009830|C0018684|C0023676|C1521761
Hazard ratios (HRs) were estimated by the Cox proportional hazards regression model.,Hazard ratios (HRs) estimated Cox proportional hazards regression model.,C0598697|C0456603|G0000000|C0750572|G0000000|C0205351|C0598697|C0684320|C3161035
"A summary of disease status, treatment history, response to earlier treatments, and time to progression is summarized in Table Table1.1.","A summary disease status, treatment history, response earlier treatments, time progression summarized Table Table1.1.",G0000000|C1552616|C0012634|C0449438|C0039798|C0019664|C0871261|C1279919|C0087111|C0040223|C0242656|G0000000|C0039224|G0000000
"As with all other families, TAU families received a written diagnostic report based on the assessment conducted at baseline.","As families, TAU families received written diagnostic report based assessment conducted baseline.",G0000000|C0015576|C1720655|C0015576|C1514756|C0043266|C0011900|C0684224|C1527178|C1261322|C0004927|C0168634
Very high death rates of 67% were reported after emergency laparotomy.,Very death rates 67% reported emergency laparotomy.,C0442824|C0011065|C0871208|C0450371|C0684224|C0013956|C0023038
We chose inclusion and exclusion criteria to maximize applicability in general practice; specific reasons for the pain were not ascertained.,We chose inclusion exclusion criteria maximize applicability practice; specific reasons pain ascertained.,G0000000|C1707391|C0007637|C0680251|C0243161|G0000000|C1272460|C0237607|C0205369|C0392360|C0030193|G0000000
"Moreover, implementation of neo-adjuvant chemotherapy is currently used after the outcome of different studies on this subject [15,16].","Moreover, implementation neo-adjuvant chemotherapy outcome studies subject [15,16].",G0000000|C1708476|C1366752|C0013216|C1274040|C0947630|C0681850|C0450371
The dosing regimen for cycles 1 through 4 consisted of paclitaxel 225 mg/m2 intravenously (IV) over 3 hours on day 1 of each 21-day cycle followed by carboplatin at area under the [concentration-time] curve (AUC) 6 IV over 30 minutes on day 1 of each 21-day cycle.,The dosing regimen cycles 1 4 consisted paclitaxel 225 mg/m2 intravenously (IV) 3 hours day 1 21-day cycle carboplatin [concentration-time] curve (AUC) 6 IV 30 minutes day 1 21-day cycle.,G0000000|G0000000|C0040808|C1511572|G0000000|G0000000|C0332529|C0144576|C1442061|C0026410|G0000000|C0022326|G0000000|C0439227|C0332173|G0000000|C0450371|C1511572|C0079083|C0004268|C0205134|C0376690|G0000000|C0022326|C0450371|C0439232|C0332173|G0000000|C0450371|C1511572
"In this method, at first the child takes a deep breath, exhales while whispering hey, then inhales deeply again and exhales whispering hu.","In method, child takes deep breath, exhales whispering hey, inhales deeply exhales whispering hu.",G0000000|C0025663|C0008059|C1515187|C0205125|C0225386|G0000000|C0234766|G0000000|C0004048|C3843505|G0000000|C0234766|G0000000
HRQoL outcomes were assessed at baseline and six months.,HRQoL outcomes assessed baseline months.,G0000000|C1274040|C1516048|C0168634|C0439231
"The tunnel test apparatus is comprised of a glass cuboid tube, 25 cm high, 21 cm wide, 60 cm long, divided into two chambers by a transverse netting insert fitted onto a frame which slots across the tunnel.","The tunnel test apparatus comprised glass cuboid tube, 25 cm high, 21 cm wide, 60 cm long, divided chambers transverse netting insert fitted frame slots tunnel.",G0000000|C0337138|C0022885|C0243111|C2700400|C0017596|C0376381|C0175730|C0450371|G0000000|C0205250|C0450371|G0000000|C0332464|C0450371|G0000000|C0205166|C0332849|C0179874|C0205106|C1456447|C0441587|C0036572|C0080089|G0000000|C0337138
This raises an important point that the CD4 count criteria according to the 2008 WHO guidelines are likely too low and need to be re-evaluated.,This raises CD4 count criteria 2008 WHO guidelines low re-evaluated.,G0000000|G0000000|C0285590|C0750480|C0243161|G0000000|G0000000|C0162791|C0205251|C0556581
"Background—Colonoscopic surveillance is a standard procedure in many patients with long standing, extensive ulcerative colitis (UC), in order to avoid death from colorectal cancer.","Background—Colonoscopic surveillance standard procedure patients standing, extensive ulcerative colitis (UC), avoid death colorectal cancer.",G0000000|C0220920|C1442989|C0184661|C0030705|C0231472|C0205231|C0041582|C0009319|G0000000|G0000000|C0011065|C0555952|C0006826
"In summary, Lm-based vaccines, ANZ-100 and CRS-207, are well tolerated in subjects with advanced cancers.","In summary, Lm-based vaccines, ANZ-100 CRS-207, tolerated subjects advanced cancers.",G0000000|C1552616|C1261082|C0042210|C1442061|C0010278|G0000000|C0681850|C0205179|C0006826
"reports personal fees from Kowa, during the conduct of the study, personal fees from Affiris, Akarna, Amgen, CSL, Behring, Staten Biotech, Regeneron, Madrigal, The Medicines Company, Esperion, Gemphire, Akcea, Ionis, outside the submitted work.","reports personal fees Kowa, conduct study, personal fees Affiris, Akarna, Amgen, CSL, Behring, Staten Biotech, Regeneron, Madrigal, The Medicines Company, Esperion, Gemphire, Akcea, Ionis, submitted work.",C0684224|C1519021|C0015751|G0000000|C0004927|C0557651|C1519021|C0015751|G0000000|G0000000|C0331771|C1413754|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|C0013227|C0683757|G0000000|G0000000|G0000000|G0000000|C1515023|C0043227
In the study of Goulden et al.,In study Goulden al.,G0000000|C0557651|G0000000|C0202311
They received all exercise program materials at 6-month follow-up.,They received exercise program materials 6-month follow-up.,G0000000|C1514756|C0015259|C1709697|C0520510|C0332177|C0589120
"In all of these hospitals, there are facilities for haematological intensive care for patients with acute leukaemia, and autologous and/or allogeneic stem cell transplantation for haemato-oncological diseases.","In hospitals, facilities haematological intensive care patients acute leukaemia, autologous and/or allogeneic stem cell transplantation haemato-oncological diseases.",G0000000|C0019994|C1547538|C0018943|C0162425|C1947933|C0030705|C0205178|C0023418|C0439859|G0000000|C1515895|C0242767|C0007634|C0040732|C0027651|C0012634
EXP youth earnings were about 55% of the maximum.,EXP youth earnings 55% maximum.,C1417055|C0001578|C0680989|C0450371|C0806909
"Approximately the first half of the intervention group messages focused on reinforcing WIC breastfeeding messages, with the remainder of messages focused on complementary feeding practices such as preventing overfeeding, delaying introduction of solid foods, and reducing juice consumption.","Approximately half intervention messages focused reinforcing WIC breastfeeding messages, remainder messages focused complementary feeding practices preventing overfeeding, delaying introduction solid foods, reducing juice consumption.",C0332232|C2825407|C0886296|C0470166|C0205234|G0000000|G0000000|C0006147|C0470166|G0000000|C0470166|C0205234|G0000000|C0204695|C0237607|C0309872|G0000000|C0205421|C1293116|C0205208|C0016452|C0392756|C1268568|C0009830
"Results from these trials were mixed; the first trial found no increase in gestation or in infant weight, length, or head circumference at birth with supplementation, although supplementation resulted in greater birth weight in infants of women in their first pregnancy (5).","Results trials mixed; trial increase gestation infant weight, length, head circumference birth supplementation, supplementation birth weight infants women pregnancy (5).",C1274040|C0008976|C0205430|C0008976|C0442805|C0032961|C0021270|C0005910|C1444754|C0018670|C0332520|C0005615|C0242297|C0242297|C0005615|C0005910|C0021270|C0043210|C0032961|G0000000
"Several modified treatment programs have been developed and evaluated for breast cancer survivors [44,54].","Several modified treatment programs developed evaluated breast cancer survivors [44,54].",C0439064|C0392747|C0039798|C0376691|G0000000|C0220825|C0006141|C0006826|C0206194|C0450371
"Any response that did not meet criteria for CR, PR, or PD was considered stable disease (SD).","Any response meet criteria CR, PR, PD considered stable disease (SD).",G0000000|C0871261|C1550543|C0243161|C0201975|C0279759|G0000000|C0750591|C0205360|C0012634|G0000000
The evaluation will be repeated at the end of primary therapy.,The evaluation repeated primary therapy.,G0000000|C0220825|C0205341|C0205225|C0039798
"At the end of the four day period, sustained release morphine was superior to placebo in diminishing dyspnoea (table 2).","At day period, sustained release morphine superior placebo diminishing dyspnoea (table 2).",G0000000|C0332173|C0439531|C0443318|C0030685|C0026549|C1282910|C0032042|C0205216|C0013404|C0039224|G0000000
Adolescents are more likely than children or adults to be poorly adherent with almost every aspect of type 1 diabetes (T1D) management.1–5,Adolescents children adults adherent aspect type 1 diabetes (T1D) management.1–5,C0205653|C0008059|C0001675|C0334154|C1547011|C0332307|G0000000|C0011847|G0000000|G0000000
"Baseline characteristics of body composition, pulmonary function, exercise capacity and peripheral muscle strength in responders and nonresponders to hf-NMES according to changes in exercise endurance (Tlim).","Baseline characteristics body composition, pulmonary function, exercise capacity peripheral muscle strength responders nonresponders hf-NMES exercise endurance (Tlim).",C0168634|C1521970|C0242821|C0486616|C0024109|C0031843|C0015259|C1516240|C0205100|C0026845|C0237897|G0000000|G0000000|C0018488|C0015259|C0518031|G0000000
"During this titration period, the dose of participants’ initial antipsychotic medication was gradually reduced and then eliminated within four weeks.","During titration period, dose participants’ initial antipsychotic medication gradually reduced eliminated weeks.",G0000000|C0162621|C0439531|C0178602|G0000000|C0205265|C0040615|C0013227|G0000000|C0392756|C0849355|C0439230
"Patients were operated in the iMRI operating room setup, using the Stealth Station neuronavigation system, Medtronic Polestar N20 (0.15T) moveable magnet and the Starshield® tent as a mobile Faraday cage for shielding radiofrequency noise (Medtronic Navigation, Louisville, CO).","Patients operated iMRI operating setup, Stealth Station neuronavigation system, Medtronic Polestar N20 (0.15T) moveable magnet Starshield® tent mobile Faraday cage shielding radiofrequency noise (Medtronic Navigation, Louisville, CO).",C0030705|C3242339|C1135564|C3242339|C1521827|G0000000|C1883167|C1136207|C0449913|G0000000|G0000000|G0000000|G0000000|C0577537|C0024483|G0000000|C0183875|C0231435|C2348508|C0337189|C0183251|C2347883|C0028263|G0000000|C2827562|G0000000|C3245499
Dilutions of nondecontaminated homogenate were used for inoculation into mice; 0.1 ml of each dilution was inoculated subcutaneously into the tails of 10 BALB/c mice in order to calculate the most probable number of live M. ulcerans cells per gram of tissue (20).,Dilutions nondecontaminated homogenate inoculation mice; 0.1 dilution inoculated subcutaneously tails 10 BALB/c mice calculate probable live M. ulcerans cells gram tissue (20).,C0079240|G0000000|C3829671|C0042196|C0025914|G0000000|C0079240|C2987620|G0000000|C0039259|C0450371|C0025919|C0025914|C1441506|C0033204|C1548795|C0369637|G0000000|C0007634|C0439208|C0040300|C0450371
"A 15 minute videotaped interaction was collected for each caregiver–child dyad prior to beginning the study, at the start of intervention, at the end of intervention (8 weeks later), and at the 12-month follow-up visit.","A 15 minute videotaped interaction collected caregiver–child dyad prior study, start intervention, intervention (8 weeks later), 12-month follow-up visit.",G0000000|C0450371|C0439232|C0042655|C1704675|C1516695|G0000000|C0870454|C0332152|C0557651|C0439659|C0886296|C0886296|G0000000|C0439230|C0205087|C0450371|C0589120|C0545082
"Person-years of follow-up were counted from the date of recruitment to the date of diagnosis of prostate cancer, death, migration out of Singapore, or 31 December 2007, whichever occurred first.","Person-years follow-up counted recruitment diagnosis prostate cancer, death, migration Singapore, 31 December 2007, whichever occurred first.",C0027361|C0589120|C0750480|C2949735|C0011900|C0033572|C0006826|C0011065|C0600210|C0037173|C0450371|C3830550|G0000000|G0000000|C1709305|C0205435
Median follow up was 11.7 (range 8.4–18.4) years.,Median follow 11.7 (range 8.4–18.4) years.,C0549183|C0332283|C0450371|C1514721|G0000000|C0439234
"Clinical data are collected from the medical records and via self-report, and include date of breast cancer diagnosis, treatment (type of surgery, chemotherapy, radiotherapy, endocrine therapy, immunotherapy), medication use and comorbidity.","Clinical data collected medical records self-report, breast cancer diagnosis, treatment (type surgery, chemotherapy, radiotherapy, endocrine therapy, immunotherapy), medication comorbidity.",C0205210|C1511726|C1516695|C0199168|C0034869|C0681906|C0006141|C0006826|C0011900|C0039798|C0332307|C0038894|C0013216|C0034619|C0014136|C0039798|C0021083|C0013227|C0009488
The risk associated with drinking hot tea did not vary by education level or several other personal variables (see web extra table).,The risk drinking hot tea vary education level personal variables (see web extra table).,G0000000|C0035647|C0001948|C0444519|C0039400|G0000000|C0013621|C0441889|C1519021|C0439828|C0042789|C0282111|G0000000|C0039224
"All subjects were unrelated ethnic Han Chinese and residents in 5 townships of Chuzhou District, which were located at the north side of the General Irrigation Canal, Huaian City, Jiangsu Province, China.","All subjects unrelated ethnic Han Chinese residents 5 townships Chuzhou District, located north General Irrigation Canal, Huaian City, Jiangsu Province, China.",G0000000|C0681850|C0445356|C0015031|C1551910|C0008120|C1320928|G0000000|C1552925|G0000000|G0000000|G0000000|C1709269|C0205246|C0022100|C0086881|G0000000|C0008848|G0000000|C1514578|C0008115
This discrepancy is probably related to a higher global tumour volume in relapsing patients compared with patients in the first-line treatment setting.,This discrepancy global tumour volume relapsing patients compared patients first-line treatment setting.,G0000000|C1290905|C0205246|C0027651|C0449468|C0035020|C0030705|C1707455|C0030705|C0205435|C0039798|C0542559
"A burst was considered present when intestine, omentum, or other viscera were seen in the abdominal wound up to 30 days from the date of operation.","A burst considered intestine, omentum, viscera abdominal wound 30 days operation.",G0000000|C0439818|C0750591|C0021853|C0028977|C0042779|C0000726|C0043250|C0450371|C0439228|C0543467
